epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6002.11,0.76083,0.73745,0.01018,0.95749,0.96016,0.98506,0.81578,0.66147,0.27211,0.0121,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6186.84,0.76149,0.73664,0.01021,0.96331,0.96183,0.98729,0.82352,0.63973,0.25445,0.01156,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6371.76,0.74942,0.72399,0.01003,0.96422,0.96891,0.98808,0.82536,0.64093,0.25346,0.01155,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6556.45,0.74927,0.71729,0.01003,0.97075,0.96125,0.98731,0.81774,0.65645,0.26518,0.01191,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6741.13,0.7425,0.72473,0.00989,0.96258,0.96065,0.98572,0.81432,0.66583,0.27235,0.01208,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6925.92,0.74183,0.70163,0.00985,0.96222,0.96352,0.98722,0.81812,0.65637,0.26308,0.01188,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7110.52,0.73938,0.69677,0.00982,0.96175,0.96552,0.98742,0.8253,0.63466,0.25642,0.01139,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7295.04,0.72253,0.68666,0.00958,0.96917,0.96786,0.98916,0.81964,0.65074,0.25216,0.01168,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7479.71,0.72621,0.70294,0.00969,0.95397,0.97375,0.98724,0.82664,0.63327,0.2564,0.01131,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7664.4,0.72543,0.68251,0.00964,0.96876,0.96102,0.98846,0.82195,0.64462,0.25846,0.01152,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7849.15,0.71719,0.66275,0.0095,0.96973,0.95823,0.98492,0.819,0.64837,0.27,0.01166,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,8033.62,0.72134,0.67337,0.0095,0.9744,0.96011,0.98766,0.82691,0.63192,0.25237,0.01127,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,8218.25,0.71007,0.66093,0.00943,0.96408,0.97174,0.98727,0.82559,0.63814,0.25335,0.01136,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,8402.94,0.7026,0.64544,0.00935,0.96974,0.97174,0.98847,0.82672,0.63588,0.24253,0.01131,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,8587.45,0.70956,0.66184,0.0094,0.9751,0.96611,0.98884,0.82774,0.63324,0.24377,0.01132,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,8771.9,0.70513,0.63436,0.00919,0.97478,0.96673,0.98911,0.8318,0.63113,0.24414,0.01122,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8956.6,0.70313,0.63863,0.00933,0.97108,0.96728,0.98828,0.83141,0.62394,0.25127,0.01107,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,9141.22,0.69636,0.62649,0.00921,0.97101,0.97234,0.98905,0.82887,0.62909,0.24366,0.0112,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,9325.72,0.6932,0.63006,0.0092,0.97119,0.96777,0.98881,0.82938,0.63177,0.24465,0.0112,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,9510.06,0.69644,0.62215,0.00919,0.97325,0.97184,0.99026,0.83275,0.62293,0.23572,0.01107,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,9694.64,0.69016,0.62242,0.00913,0.9754,0.96614,0.98942,0.83088,0.62682,0.24019,0.0111,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9879.3,0.6828,0.61279,0.009,0.97411,0.97187,0.98903,0.82752,0.63354,0.24235,0.01124,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,10063.9,0.67374,0.59592,0.00884,0.97579,0.97268,0.989,0.82777,0.63802,0.23938,0.01134,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,10248.3,0.6796,0.60429,0.00901,0.97719,0.96908,0.98761,0.83061,0.62757,0.2413,0.01113,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,10432.8,0.66933,0.60506,0.00885,0.97353,0.96953,0.98981,0.83387,0.62598,0.23759,0.01106,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,10618,0.66872,0.59614,0.00881,0.97264,0.97223,0.98956,0.83421,0.62227,0.23948,0.01095,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,10802.8,0.65903,0.57729,0.00877,0.97393,0.96466,0.98906,0.83399,0.62206,0.24151,0.01095,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,10987.4,0.65367,0.58979,0.00861,0.97558,0.96951,0.98924,0.8325,0.62937,0.23832,0.01111,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,11172.2,0.655,0.59979,0.00861,0.9747,0.97415,0.98915,0.83327,0.62357,0.23266,0.01104,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,11356.7,0.65081,0.57669,0.00856,0.9736,0.97367,0.99012,0.8348,0.62307,0.2352,0.01103,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,11541.4,0.65174,0.59351,0.00861,0.97191,0.97509,0.98935,0.83379,0.62128,0.23762,0.01099,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,11726,0.64967,0.57888,0.0086,0.97454,0.97137,0.98915,0.83496,0.62018,0.23665,0.01098,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,11910.4,0.63978,0.55202,0.00831,0.97618,0.97436,0.98991,0.83486,0.62072,0.23477,0.01098,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,12095.1,0.63608,0.54942,0.00825,0.97636,0.97387,0.99021,0.83505,0.62017,0.23778,0.01098,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,12279.6,0.63911,0.5513,0.00835,0.97797,0.97169,0.99049,0.83468,0.62258,0.23352,0.01103,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,12464,0.62751,0.54666,0.00823,0.9759,0.97511,0.98977,0.83394,0.62469,0.23265,0.01106,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,12648.6,0.62398,0.54702,0.00818,0.97603,0.97521,0.98988,0.83436,0.6222,0.23176,0.01101,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,12833.2,0.62695,0.53767,0.00815,0.97635,0.97102,0.98931,0.83528,0.61927,0.23368,0.01092,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,13017.7,0.61431,0.5382,0.00804,0.97652,0.9709,0.98913,0.83615,0.6192,0.23678,0.01091,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,13202.1,0.61426,0.53174,0.00809,0.97575,0.97442,0.98955,0.83623,0.61786,0.23308,0.01087,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,13386.6,0.60644,0.5296,0.00795,0.97687,0.97175,0.98894,0.83551,0.61698,0.23604,0.01085,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,13571.1,0.60283,0.51632,0.00775,0.97756,0.97106,0.98891,0.83485,0.61549,0.23425,0.01083,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,13755.5,0.59254,0.50914,0.0078,0.97767,0.97428,0.98934,0.83566,0.61419,0.23557,0.0108,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,13940.1,0.59463,0.50684,0.00771,0.97586,0.97623,0.98956,0.83638,0.61582,0.23326,0.01082,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
